scorer,Gia,Gia,Gia,Gia,Gia,Gia
bodyparts,Head,Head,Neck,Neck,Tail,Tail
coords,x,y,x,y,x,y
labeled-data\Bright_VT2_2\img04253.png,250.69056998272777,342.7847974303809,263.5192721432683,362.0278506711918,292.8420199387897,379.43823217478257
labeled-data\Bright_VT2_2\img05482.png,364.316217690373,94.45777703705949,346.90583618678215,84.37808248234899,323.0811036029211,93.54144116844941
labeled-data\Bright_VT2_2\img08128.png,218.61881458137628,307.9640344231993,229.6148450046968,327.20708766401015,243.35988303384744,349.1991485106512
labeled-data\Bright_VT2_2\img08223.png,200.29209720917544,228.24281385412564,194.7940819975152,249.3185388321566,201.20843307778546,274.0596072846277
labeled-data\Bright_VT2_2\img11247.png,247.02522650828757,135.6928911245114,230.53118087330682,140.27457046756155,219.5351504499863,151.27060089088206
labeled-data\Bright_VT2_2\img12098.png,258.9375928002181,115.53350201509045,250.69056998272777,124.69686070119087,233.28018847913694,135.6928911245114
labeled-data\Bright_VT2_2\img13988.png,342.32415684373194,91.70876943122931,323.0811036029211,88.9597618253992,301.0890427562801,97.2067846428896
labeled-data\Bright_VT2_2\img14083.png,337.74247750068173,88.9597618253992,319.41576012848094,89.87609769400927,302.92171449350013,98.12312051149962
labeled-data\Bright_VT2_2\img14272.png,345.98950031817213,93.54144116844941,325.8301112087512,93.54144116844941,302.0053786248901,97.2067846428896
labeled-data\Bright_VT2_2\img15879.png,418.3800339383655,101.78846398593981,403.71866004060473,92.62510529983939,383.55927093118385,84.37808248234899
labeled-data\Bright_VT2_2\img16729.png,284.5949971212993,366.60953001424195,302.0053786248901,376.68922456895245,330.4117905518014,387.6852549922729
labeled-data\Bright_VT2_2\img17107.png,222.28415805581642,158.6012878397624,212.20446350110598,179.6770128177934,197.54308960334532,203.5017454016545
labeled-data\Bright_VT2_2\img17580.png,367.0652252962031,91.70876943122931,349.6548437926123,87.12709008817916,325.8301112087512,89.87609769400927
labeled-data\Bright_VT2_2\img21739.png,209.45545589527586,303.38235508014907,219.5351504499863,319.8764007151298,230.53118087330677,335.4541104815006
labeled-data\Bright_VT2_2\img22022.png,222.28415805581642,313.4620496348595,222.28415805581642,329.95609526984026,234.19652434774702,338.20311808733067
labeled-data\Bright_VT2_2\img23723.png,203.04110481500555,188.84037150389383,198.45942547195534,201.6690736644344,193.87774612890513,232.82449319717585
labeled-data\Bright_VT2_2\img24291.png,311.16873731099054,99.0394563801097,293.7583558073997,99.0394563801097,272.68263082936875,108.20281506621012
labeled-data\Bright_VT2_2\img25614.png,309.33606557377044,98.12312051149962,292.8420199387897,97.2067846428896,273.5989666979788,104.53747159176993
